Material,E (GPa),Yield Stress (MPa),Metric
Mild Steel,220.593,141.78703703703704,91.1341877201095
Aluminium,80.267,67.18595791001452,56.236721694921236
PMMA,6.718,13.07522015402148,25.44825574220445
