phi_1,phi_2,phi_3
1,1.80467901,2.189412715
1,0.2759235,-0.897272628
1,-1.352111464,0.535728966
1,1.258661215,2.994403834
1,0.041872661,-0.848385408
1,-1.567842837,1.183412241
1,1.729565439,1.143618088
1,0.218579104,-0.206811557
1,-0.703441692,0.188131613
1,1.827166096,2.358309457
1,0.499860084,-1.213591614
1,-2.920244764,1.089282788
1,1.37793197,1.705215219
1,0.2065731,-0.301029522
1,-0.828882835,0.282853721
