267	535	531	
265	534	534	
262	532	536	
260	530	538	
259	527	539	
256	525	539	
255	524	541	
255	523	541	
254	522	542	
254	524	542	
252	525	541	
252	527	541	
254	529	539	
254	532	539	
254	533	538	
255	536	536	
255	538	534	
256	539	533	
256	540	532	
255	540	530	
254	540	530	
253	540	530	
251	539	530	
249	538	531	
248	537	531	
247	536	533	
245	535	534	
245	534	534	
244	533	535	
244	533	536	
244	534	535	
244	535	535	
244	537	535	
244	538	534	
244	539	533	
244	541	532	
244	542	530	
243	543	528	
243	544	526	
243	544	525	
243	545	524	
244	544	523	
245	543	522	
246	542	521	
248	541	522	
249	539	522	
250	538	522	
250	535	524	
251	534	525	
250	532	526	
249	531	528	
248	530	530	
247	530	531	
246	531	533	
244	532	534	
243	534	535	
239	535	535	
237	538	536	
234	539	536	
230	541	536	
227	542	536	
224	543	535	
223	543	535	
221	543	534	
220	543	533	
218	543	532	
217	541	532	
217	540	531	
217	538	530	
217	537	530	
218	535	530	
218	533	529	
219	532	530	
221	531	530	
222	530	530	
223	530	529	
224	530	528	
225	531	528	
226	532	528	
226	533	526	
227	534	525	
227	535	524	
228	535	522	
229	535	521	
230	535	520	
231	534	520	
234	533	518	
237	532	517	
240	532	516	
244	530	516	
249	529	515	
254	529	515	
260	529	516	
264	528	516	
268	528	518	
271	529	518	
273	530	520	
274	532	522	
276	533	524	
276	535	524	
276	538	525	
276	538	526	
274	540	526	
272	542	527	
270	543	527	
266	543	525	
264	544	525	
261	543	524	
258	543	523	
255	542	522	
254	541	519	
254	539	517	
254	537	512	
255	535	510	
257	533	508	
259	532	505	
260	530	503	
261	528	501	
262	527	499	
262	527	497	
264	526	495	
265	527	493	
265	527	490	
265	527	488	
265	528	484	
265	528	481	
264	528	477	
262	529	473	
261	528	469	
260	526	465	
260	525	460	
260	524	456	
261	522	453	
263	521	450	
266	518	446	
269	517	443	
273	516	441	
276	514	438	
280	514	437	
285	515	436	
288	516	435	
291	518	434	
294	520	434	
296	522	433	
298	526	433	
299	528	431	
299	530	432	
299	531	432	
297	533	432	
294	533	432	
292	534	432	
290	534	432	
288	534	432	
286	533	433	
285	532	434	
284	531	436	
283	529	438	
283	527	440	
283	525	442	
284	523	442	
285	521	444	
287	519	444	
289	518	445	
290	517	444	
291	517	445	
291	516	445	
292	517	444	
292	518	445	
291	519	446	
289	519	447	
287	520	448	
286	521	450	
283	521	451	
283	522	453	
282	522	454	
282	522	456	
283	522	458	
285	522	459	
287	521	461	
290	521	462	
293	520	464	
295	519	465	
298	519	467	
302	520	469	
306	521	471	
310	523	475	
315	526	478	
319	529	482	
323	532	485	
326	535	489	
328	537	493	
329	540	497	
330	542	501	
330	543	505	
331	545	510	
332	546	513	
332	546	518	
333	545	522	
333	545	525	
335	546	528	
335	544	530	
336	543	531	
337	542	534	
338	541	535	
339	539	536	
341	537	536	
342	535	535	
344	534	535	
345	533	534	
345	532	534	
345	532	533	
344	531	532	
343	531	531	
341	532	531	
340	532	530	
339	532	530	
336	531	529	
335	531	529	
333	530	530	
333	529	529	
332	528	530	
332	527	530	
332	525	530	
